"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres1-110","15444","NA","2007","2"
"hconres10-110","29778","20539 29559 29325 20713 29585 29120 15619","2007","2"
"hconres100-110","14837","15245 15005 29588 29328 15014 29104 15603 29559 20518 20127 29337 29585 29573 29120 39305 29564 29778 29149 15619 29752 15634 29321 29346 20321 29707 29768 14863 29906 20106 29715 29309","2007","2"
"hconres101-110","13035","20733 15616","2007","2"
"hconres102-110","20104","29938 29922 21180 29328 15014 29919 29720 20733 10713 29717 20534 15603 29312 29313 20305 29348 29337 20103 29750 29733 15431 29379 29349 14435 20122 20332 15614 29776 29586 20537 29149 29377 15616 29741 15619 20334 20536 29742 29317 29709 29911 15449 29718 29703 14053 29705 14869 29309","2007","2"
"hconres103-110","29911","NA","2007","2"
"hconres104-110","20516","20509 29922 29588 29720 29327 20147 20517 29731 29571 29362 20727 29563 29313 29122 20305 29763 20103 20115 14837 20538 20122 15613 29729 29149 29123 15619 20104 20542 29768 14053 20310 29715","2007","2"
"hconres105-110","29922","15000 29728 20736 29942 29940 20509 15005 29912 29339 29588 29775 21180 20719 29328 20313 20340 20146 29774 20746 20708 20539 20733 20517 39301 20748 10713 15453 20533 20302 20108 29710 29731 29109 29571 20727 29312 29745 20742 29313 14824 20701 20529 20305 20716 29318 29337 20349 29914 20713 29750 14873 20129 29573 39305 29930 20751 15029 29564 14430 29733 20711 29748 20136 15431 20720 29393 20119 29379 20538 29744 20122 15613 29729 15614 29776 20328 29586 14256 29915 29149 29903 15616 15616 14265 12036 29123 29101 15619 20705 15438 29390 15634 29317 29709 29911 20104 20525 29134 20731 15444 20105 15064 20740 20310 29705 15072 29906 29378 20726 20504 20106 14280 29779 29309","2007","2"
"hconres106-110","20146","15401 29508 29561 15616 20337 20135 15064 20330 29516 20739","2007","2"
"hconres107-110","29379","29742 29707","2007","2"
"hconres108-110","29346","15245 29940 15085 20509 29922 15005 29339 21180 29713 29777 20719 29328 20340 29774 20306 20757 29720 20539 20733 20147 20748 10713 29587 29717 20316 2605 29561 20727 29559 20127 14824 29943 20529 39304 20305 29348 20716 29337 29380 20713 29396 20103 29585 29573 29120 39305 20712 20116 29930 29733 20520 29517 14837 29778 15431 20720 29504 15612 29379 20332 29729 20358 29776 20331 20537 29149 29377 15616 15049 15619 14448 13035 29764 20752 20301 15634 20343 39307 29134 15449 29718 20737 20105 29519 20740 20310 15072 15446 29106 20106 29383 29516 29715 14869 29309 29355","2007","2"
"hconres109-110","29939","NA","2007","2"
"hconres11-110","29134","20103","2007","2"
"hconres110-110","15449","NA","2007","2"
"hconres111-110","13035","15245 20305 20520 39316 29915 15619","2007","2"
