"bill_id","sponsor_icpsr","cosponsors_icpsr","bill_date","year","chamber"
"hconres1-115","29759","NA","2017-01-03","2017","2"
"hconres10-115","20924","21551 21333 21352 21527 29777 21331 20709 21329 21358 20517 20906 21555 20952 20501 21350 29925 21512 29717 21328 15410 31101 21179 29561 21189 15455 20727 21531 20518 20749 20304 21720 21559 20916 21149 21369 20519 21349 21346 21142 21129 20915 21162 15029 21167 21372 29769 29375 20325 21128 21730 21562 29908 15033 21733 20508 20720 20926 20532 20538 20122 29729 20535 21168 21332 21737 21526 20537 15616 21177 14263 20307 29741 20705 29127 21347 21370 20904 20954 21101 20536 21164 20947 21131 20715 21357 20343 29911 14657 29759 21102 29707 29718 14863 21373 21163 21749 20946 20130 21111 21307 21337 20725 21543 21330 20726 21351 21521","2017-01-13","2017","2"
"hconres100-115","29541","NA","2018-01-22","2018","2"
"hconres101-115","29701","NA","2018-01-25","2018","2"
"hconres102-115","20703","NA","2018-02-05","2018","2"
"hconres103-115","15634","20959 15603 29762 21731 15612 20715 21326 14863 21365 21539","2018-02-05","2018","2"
"hconres104-115","29541","NA","2018-02-06","2018","2"
"hconres105-115","20107","29323 20748 20344 20531 21334 21529 21184 21502 21717 20963 20712 29546 21728 21368 21530 20720 21753 15438 21559 29346 20343 20762 21314 21509","2018-02-06","2018","2"
"hconres106-115","20755","15029","2018-02-16","2018","2"
"hconres107-115","20522","21545 21708 20340 20521 21349 21346 29546 21348 21347 15438 21544 21543","2018-02-23","2018","2"
"hconres108-115","20529","21545 21703 21110 21352 29339 21706 21707 20340 20757 20733 20147 20517 39301 20748 29587 29717 21713 29561 20727 21566 20941 39304 29337 29573 21726 21343 39305 20712 21371 21530 29778 15431 21313 21736 29776 20537 15616 31103 21554 21137 29346 20321 39307 21102 29768 29368 21365 29106 21538 21118","2018-02-27","2018","2"
"hconres109-115","21735","20758 21712 21713 21318 21714 29337 20909 15634 21117 21746 20504 21116","2018-02-27","2018","2"
"hconres11-115","20351","29707","2017-01-23","2017","2"
"hconres110-115","21108","21180 21106 21324 21124 21503 21559 21563 20138","2018-02-27","2018","2"
"hconres111-115","21562","21551 21701 20758 21513 21358 20708 29550 21172 20906 20748 21512 21334 31101 21109 20959 29561 21531 21715 21717 21718 20305 21550 21726 21335 21729 21368 21128 21505 21507 21150 20530 21348 29776 21525 21738 20924 20536 29317 29321 29346 20343 21123 29759 29707 21307 20504 21135","2018-03-05","2018","2"
"hconres112-115","21124","21324","2018-03-08","2018","2"
"hconres113-115","14873","21554 21707 21555 20952 21334 15616 21741 20724","2018-03-08","2018","2"
"hconres114-115","21198","21370","2018-03-13","2018","2"
"hconres115-115","21171","20927","2018-03-15","2018","2"
"hconres116-115","29541","NA","2018-03-22","2018","2"
"hconres117-115","21321","21703 21110 21352 21554 21198 21180 21548 29777 21308 21329 21709 20708 21362 21172 20733 21711 20108 29710 21334 29109 31101 21504 21529 21715 21566 20941 21324 20305 21303 21726 20712 21368 21730 21340 20136 21530 21732 29778 21313 29379 21344 20122 20702 21342 29377 29903 21536 15616 21361 15454 20920 21370 21741 21743 20343 29911 29134 20731 29768 20762 21306 21312 20927 20754 21314 29378 20504 21538 21118","2018-04-10","2018","2"
"hconres118-115","20925","29777","2018-04-25","2018","2"
"hconres119-115","20759","21522 21551 21702 21333 15085 20758 21180 20351 20344 21345 21350 20139 21174 21165 21103 20124 21191 20916 20352 21514 21349 21346 21142 21558 29143 21167 21731 20755 21150 20532 31102 20903 21188 21557 21355 21148 20337 20909 21549 21164 20947 21544 15445 21337 20725 21330 21360 21364","2018-04-26","2018","2"
"hconres12-115","21527","21721 21142 21737 21526 21528 20725","2017-01-24","2017","2"
"hconres120-115","29778","21703 21352 21554 29919 20757 29109 20727 21715 21726 21371 21728 21729 29729 20702 15616 20329 39307 21746 21314 29378 29106","2018-05-08","2018","2"
"hconres121-115","20947","NA","2018-05-16","2018","2"
"hconres122-115","21505","21305","2018-06-07","2018","2"
