"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres1-118","20344","NA","2023","2"
"hconres10-118","15433","21551 20758 21307 20355 21307 21513 21986 21908 21911 21179 21307 21714 21749 21307 21307 21307 21178 21749 21307 21307 21986 21925 21559 21307 21162 21749 21302 21986 21749 21757 21307 21307 21307 21307 20903 21749 20535 21307 21986 21307 21753 21749 21749 21307 21356 21956 21959 21367 14863 21986 21971 21360 21563 21364 20138","2023","2"
"hconres100-118","20316","NA","2024","2"
"hconres101-118","21931","21352 21986 21709 21309 29717 21749 21915 21504 21529 21917 20305 29573 29778 21749 15616 15616 21749 29911 29707 21746 21306 20927 21975 21749 20934 21538 21763","2024","2"
"hconres102-118","21307","21900 21749 21703 21198 21986 21709 20517 20952 20706 21910 21914 29717 29710 21919 21749 21922 21921 21749 21754 21723 21931 21749 21726 21730 29778 21307 29504 20119 21749 21749 20122 21749 29729 29377 15616 21951 21953 21370 21954 20954 21749 21749 21762 29911 20104 29768 21749 21746 21306 21312 21307 21978 21538 21118","2024","2"
"hconres103-118","29339","21749 21307 20533 21178 21307 29762 21561 21728 21937 20535 14854 21749 21108","2024","2"
"hconres104-118","29339","21749 21307 20533 21178 21307 29762 21561 21728 20535 21749 21108","2024","2"
"hconres105-118","20322","21749","2024","2"
"hconres106-118","21749","21701 21986 21717 21927 21724 21749 21307 20535 21526 21749 20301 21744 21969 21981","2024","2"
"hconres107-118","21986","NA","2024","2"
"hconres108-118","21749","21749 21307 21749","2024","2"
"hconres109-118","21351","21358 21711 21987 14863","2024","2"
"hconres11-118","20759","NA","2023","2"
"hconres110-118","21954","NA","2024","2"
"hconres111-118","21954","NA","2024","2"
"hconres112-118","21954","NA","2024","2"
"hconres113-118","21307","21700 21551 21701 21307 20355 21911 21307 21749 21307 21718 21919 21925 29762 20124 20916 21307 21986 21749 21749 20530 21749 21749 29759 21307 21360 21364","2024","2"
"hconres114-118","21142","21901 21903 21749 21307 21307 21749 21986 21749 15433","2024","2"
"hconres115-118","21548","29701 29588 21358 20501 21914 21749 21566 21718 21178 20958 21934 21749 21749 21747 29908 20755 29504 21525 21749 21536 21307 21762 21312 20946 20927 21980 20504 21538","2024","2"
"hconres116-118","20529","NA","2024","2"
"hconres117-118","21700","NA","2024","2"
"hconres118-118","21545","21703 21352 29339 21198 21986 20757 21749 20955 20733 20517 21749 31101 21504 21715 21566 21749 21321 21749 20958 21723 14873 21749 29573 21749 21726 21749 21371 21747 29778 21749 21307 20119 21986 21944 21749 20122 15433 20537 21525 29377 15616 21950 21554 20954 21749 21741 21749 29911 29768 21746 21972 21307 21306 21749 29368 29901 21975 21977 29378 21538 21763 21307 21118","2024","2"
"hconres119-118","20517","21703 20733 21309 29717 21715 21749 21749 21922 21921 20305 29573 21749 29729 15616 21949 21749 21978 21314 29378 21538 21307 21118","2024","2"
"hconres12-118","21307","21749 21307 21307 21724 21372 21749","2023","2"
"hconres120-118","21106","21503 21563 21108","2024","2"
"hconres121-118","21980","NA","2024","2"
"hconres122-118","21731","20709 21986 21911 21749 21927 21959","2024","2"
"hconres123-118","21749","21515 21986 29901","2024","2"
"hconres124-118","29393","29504","2024","2"
"hconres125-118","20529","NA","2024","2"
"hconres126-118","21307","NA","2024","2"
"hconres127-118","21749","21755 21307 21307","2024","2"
"hconres128-118","21749","21749 21307 29339 21519 21308 20709 21986 21749 20501 21911 21749 21749 21749 21529 21714 21749 21749 21749 21307 21718 21717 21749 21930 21307 21749 21307 21561 21749 21749 21749 21939 21749 21735 20530 21749 21749 21749 21307 21749 21526 21525 21307 21307 21753 21370 21559 20301 21744 21749 20329 14863 21749 21966 20946 15433 21986 21749","2024","2"
"hconres129-118","21321","21900 21703 21304 20758 21749 20708 20517 21749 21915 21529 20305 21930 21931 20712 15029 21728 21749 21749 20538 21946 20537 21761 21749 29377 15616 21370 29911 21746 21972 20504 21118","2024","2"
"hconres13-118","21108","21545 29701 21749 21516 21196 21700 21551 21701 21903 21759 21702 21333 21749 21352 21307 21704 20758 29339 21519 21548 21749 20709 21132 21749 21749 29323 21307 21986 21749 21986 20757 21513 20356 21749 20708 21986 21749 21307 20344 21749 21565 20952 20501 20706 21106 21911 21749 20533 21986 21914 21564 29717 21749 21749 21749 21529 21307 21174 21714 21749 21531 21566 21749 21307 21307 21749 21307 21718 21178 21749 20521 21307 21749 21720 21307 21986 21307 21923 21307 21722 21717 21986 21925 21103 21723 29762 20124 21307 21559 21927 20916 21749 21139 21760 21503 21749 21934 21346 21142 21749 21749 21307 21162 21935 21727 20738 21353 21936 15029 21749 21140 21167 21371 21561 21747 21368 21937 21340 21731 21562 21749 21302 20704 21749 21749 29908 20755 21986 21749 21749 21757 21749 21515 29393 20926 21749 20119 21307 21307 21307 21986 31102 20122 21749 20522 20535 29776 21945 21946 21307 21749 21307 21986 21526 21557 21749 21525 21749 21307 21987 21307 21556 21753 21749 21307 21307 21951 31103 21986 21952 21356 21307 21953 21554 20909 21559 21956 14854 20301 21986 21544 21747 20329 21749 20329 21749 21326 21123 20321 21749 29759 21102 21964 29910 20729 14863 21749 21966 21749 21969 21541 21970 21749 21749 20946 15433 21974 21978 20342 21307 21980 21307 21749 21749 21365 21337 20725 21360 21116 21351 21563 21763 21986 21364 21118 20138 20756 21749 21749","2023","2"
"hconres130-118","21307","21545 21900 21749 21703 21352 21198 21986 21749 21308 21749 21986 21709 20757 21749 21749 21906 20708 21749 20955 20733 20517 20748 20952 21910 21749 21309 21915 29710 29109 31101 21749 21504 29571 21917 21715 21566 21919 21749 20958 21749 21922 21921 21749 21723 20305 21931 20907 21303 21307 21726 20712 21749 21371 21747 21730 29778 21749 21307 21507 21749 21749 20122 29729 21761 21986 15616 21949 21950 21986 21315 21749 21370 21954 21749 21741 21307 21749 21762 29911 21326 21102 21749 21746 21749 21972 21307 21306 29368 20927 21975 21749 20934 21508 21977 21978 21314 21365 29378 21538 21763 21118","2024","2"
"hconres131-118","21307","21545 21703 21198 21986 21709 20757 21749 20708 21362 20955 20517 21711 20501 21309 29109 29571 21917 21715 21922 21921 21754 21723 15616 21954 21749 21311 21749 20310 21975 21314","2024","2"
"hconres132-118","21321","29339 21529 21715 21566 21931 29778 21749 15616 21307 21306 20504 21538 21307","2024","2"
"hconres133-118","20756","21979","2024","2"
"hconres134-118","20301","NA","2024","2"
"hconres135-118","29776","21912 21307 15454 20927","2024","2"
"hconres14-118","21757","21516 21759 21132 21755 21174 21191 20755","2023","2"
"hconres15-118","21356","20927","2023","2"
"hconres16-118","21504","21545 29588 20955 21749 20958 20529 20712 21728 29778 29504 21749 20537 15616","2023","2"
"hconres17-118","20916","21759 21132 21911 21755 21174 21936 21757 21500 21307","2023","2"
"hconres18-118","20522","21986 21749 21749 20521 21346 21987 21544","2023","2"
"hconres19-118","21307","21749 21306","2023","2"
"hconres2-118","21510","21307 21307 21956 21351","2023","2"
"hconres20-118","21719","21307 21749","2023","2"
"hconres21-118","21719","21705 21103 21307 21986","2023","2"
"hconres22-118","21321","21545 21900 21307 21749 21703 21352 21554 29339 29588 21706 21198 21986 21548 21749 21308 21749 21986 21986 21709 20757 21358 20322 20708 21362 21749 20955 21172 20733 20517 20748 20952 21910 21749 21309 29717 21915 29710 29109 31101 21749 21504 21529 21917 29312 21715 21566 21919 20749 21502 21921 21922 21749 21754 21723 20529 20305 21931 20519 21339 21749 29573 21307 21726 20712 21749 15029 21140 21371 21728 21368 21730 21340 29778 21938 21307 21507 29504 20119 21986 20538 21944 20122 29729 29776 21342 20537 21761 21749 21525 29377 29903 21948 21536 15616 21950 15454 21740 21951 29741 31103 21986 21315 21749 20920 21554 21370 21954 21955 20954 21749 21741 21307 20329 20724 21762 29911 20104 21749 21962 20321 21102 21964 29768 21746 21749 21968 21972 21307 21306 20310 21312 20927 21975 21749 20934 21508 21977 21978 21314 21365 29378 20504 21538 21983 21763 21307 21118","2023","2"
"hconres23-118","21955","21703 21304 21198 21986 21986 20955 20952 21915 29710 29571 21917 21566 21919 21921 21922 21754 21307 21726 21749 21728 29778 21342 21761 21525 15616 31103 21370 21954 21307 29911 20104 21975 21749 21977 21978 21538 21118","2023","2"
"hconres24-118","21700","21749 21103 21757 21753 21749","2023","2"
"hconres25-118","21731","21749 21749 21326","2023","2"
"hconres26-118","21307","21908 39301 21910 21749 21749 21178 20749 21103 21749 21302 20704 21749 21307 21307 21556 21307 20909 21307 21367 21986 20756","2023","2"
"hconres27-118","21140","21900 21304 20748 20952 20501 20316 21717 21346 21749 21749 29778 29729 21749 21954 20954 20104 21326 29707 14863 20138","2023","2"
