"bill_id","sponsor_icpsr","cosponsors_icpsr","bill_date","year","chamber"
"hconres1-113","29759","NA","2013-01-03","2013","2"
"hconres10-113","15634","21172 20727 29923 20103 29769 29729 29149 15616 21370 20904 20329 29911 21300 20542 20762 20310 20504","2013-01-25","2013","2"
"hconres100-113","20941","NA","2014-05-22","2014","2"
"hconres101-113","21334","15603 20330","2014-06-11","2014","2"
"hconres102-113","21172","20727 20136 20122 29776 15616 29730","2014-06-20","2014","2"
"hconres103-113","15616","NA","2014-06-23","2014","2"
"hconres104-113","20328","NA","2014-06-25","2014","2"
"hconres105-113","29729","20727 29313 20305 29923 20103 29546 29778 15613 20944","2014-07-11","2014","2"
"hconres106-113","20134","NA","2014-07-11","2014","2"
"hconres107-113","15634","29301 21171 21304 20758 29328 20146 20708 29550 21172 21319 21323 20531 20952 21305 21301 20111 29109 21318 20959 20316 21189 15603 21181 20524 21182 20521 21321 20304 21324 21112 21165 20527 21103 20908 21107 14828 21139 29337 20519 20963 20129 21162 21353 21335 21368 29375 20333 21340 20704 20929 20136 21166 21313 15612 20926 21170 29744 20522 21188 20535 21348 29331 21319 29377 15616 21177 20948 20924 20337 21356 29127 20528 20904 20505 20536 20947 21131 20715 29321 29500 29911 21326 20525 21105 20321 29707 29910 21300 20542 21163 29570 21306 29921 21314 21337 21330 20504 14280 21360 21118 14869 21133","2014-07-16","2014","2"
"hconres108-113","20949","NA","2014-07-17","2014","2"
"hconres109-113","20304","20728 21301 21162 20325 20704 20929 20755 20508 21360","2014-07-23","2014","2"
"hconres11-113","20139","NA","2013-02-04","2013","2"
"hconres110-113","20518","29701 20728 20758 20514 20955 21319 21328 29109 20526 29312 20304 20345 21103 21149 20103 29573 21162 20704 20929 29908 20755 29778 15033 20508 29504 20538 20122 29729 20522 21188 21348 20331 29149 20923 29752 20904 20909 13035 21357 29346 20759 29911 20104 29707 20762 21163 21306 29901 20130 20330 21314 20725 21351 14869 21135","2014-07-24","2014","2"
"hconres111-113","20110","NA","2014-07-30","2014","2"
"hconres112-113","14675","NA","2014-08-04","2014","2"
"hconres113-113","20919","NA","2014-09-11","2014","2"
"hconres114-113","20305","21375 10713 15410 20727 29313 20908 21195 20103 20712 29778 15431 20720 15613 29729 14263 21361 20920 21370 13035 29134 21312 20754 20750","2014-09-11","2014","2"
"hconres115-113","20321","29328 20757 20955 20733 29559 20305 29763 21343 21371 29778 29729 29776 15616 39307 21102 21365","2014-09-11","2014","2"
"hconres116-113","21368","20706 20143 21363 20136","2014-09-18","2014","2"
"hconres117-113","20929","29541","2014-09-18","2014","2"
"hconres118-113","21172","21110 15603 21321 20305 21335 21128 29778 15033 21313 20122 15613 29776","2014-11-14","2014","2"
"hconres119-113","15634","NA","2014-11-20","2014","2"
"hconres12-113","20529","21110 21352 29339 29328 20340 20757 20955 20733 20147 20517 39301 10713 29587 29717 20763 20727 20941 29337 29763 20103 29573 21343 39305 20712 29778 15431 29776 20537 15616 29101 31103 13035 21137 29346 20321 39307 21102 29368 21365 29106 29383 21118","2013-02-12","2013","2"
"hconres120-113","20530","NA","2014-12-03","2014","2"
"hconres121-113","29315","NA","2014-12-04","2014","2"
"hconres122-113","14854","NA","2014-12-10","2014","2"
"hconres123-113","29315","NA","2014-12-10","2014","2"
"hconres124-113","29124","NA","2014-12-10","2014","2"
"hconres125-113","21182","NA","2014-12-12","2014","2"
"hconres13-113","20539","NA","2013-02-13","2013","2"
"hconres14-113","21154","20129 21168 14280","2013-02-13","2013","2"
"hconres15-113","29759","NA","2013-02-15","2013","2"
"hconres16-113","20531","90327 29132 20728 29301 21199 21171 21333 20507 15085 21352 21141 21336 20758 29339 29588 20300 20514 20719 21354 21193 21331 29328 20709 21132 21329 20340 21376 29323 20539 20146 29919 21113 20757 20356 20919 20708 29550 20147 20906 20344 21345 21305 21301 20706 21350 21106 20111 20533 20139 21338 21328 15410 20526 21179 20316 2605 21189 21174 15455 21159 21327 21184 20524 20918 21182 20518 20749 20521 29541 21112 20345 21165 21156 20319 21103 21175 29762 20124 20962 39304 21107 20916 14828 21157 20925 21139 21149 29337 29580 21151 21187 29763 21339 21346 21134 21129 20963 21186 20915 21162 21319 29546 20738 21353 15029 21140 21368 29769 29375 21128 20902 20333 21340 21302 20704 20929 20136 21166 29522 20755 29539 20720 21150 29393 20926 21341 20932 20953 20119 20935 20532 31102 20140 21363 29744 20522 29746 21188 20535 21348 21168 29776 21332 29331 20328 20331 20110 21355 21176 20353 21177 20307 21147 21361 20948 20957 21148 15454 29741 20924 20337 14675 21347 29752 20528 21136 20909 15438 14448 13035 21101 21164 21190 21185 21192 14854 20301 20120 15621 21131 15634 20715 21117 29321 21153 29939 20343 29500 20724 20759 20914 20944 20525 21105 21123 20321 29759 20731 29718 20134 29910 20729 14863 21114 21163 21100 29921 20946 20130 21111 20342 15446 21307 21365 15124 21337 20725 29932 21330 20726 21360 21351 20506 29525 21364 21118 20138 20756 21108 21135 21317 14066","2013-02-15","2013","2"
"hconres17-113","20941","21352 29328 20340 20955 29587 29717 20727 29559 20305 29337 29763 15029 29778 15431 29729 20537 15616 31103 13035 21137 29346 39307 29134 21102 21365 29383 21118","2013-02-15","2013","2"
"hconres18-113","21171","15616","2013-02-26","2013","2"
"hconres19-113","14873","20952 21334 20763 29149 15616 20330 14869","2013-02-26","2013","2"
"hconres2-113","29573","NA","2013-01-03","2013","2"
"hconres20-113","29923","NA","2013-03-04","2013","2"
"hconres21-113","29375","20338 20340 20147 20748 10713 20305 21154 29573 39305 15431 20122 29776 20537 13035 29570","2013-03-05","2013","2"
"hconres22-113","29923","NA","2013-03-06","2013","2"
"hconres23-113","21167","21196 20728 21171 21333 15085 21141 21336 20758 20357 20351 20514 29760 21354 21193 20753 21132 20355 29323 29124 20146 20356 20919 29550 21345 20531 21301 21106 20139 21338 21328 21318 21179 21189 21174 15455 21159 21184 21181 21178 20918 21182 20143 20304 21112 20336 21165 20319 20527 39308 21103 20124 21107 21191 20916 14828 21139 21149 21151 20352 21349 21346 21134 21142 21129 20963 20915 21162 29546 20738 21353 20325 29338 21128 20333 21302 20704 21166 20755 21150 29393 20926 20532 21170 31102 20530 20903 21188 21348 21332 20328 20110 21355 21176 20353 21177 21115 21147 20948 20957 21148 20337 21356 21347 29752 20528 21136 20909 21320 14448 21101 21190 21192 20947 20301 21131 20715 21117 21357 29500 20759 21105 21123 29759 29718 29910 20729 15445 21114 21367 21163 29570 21100 20946 29572 20130 21111 21337 20725 21330 21360 21351 20506 29525 20138 20756 21108 21122 21135 21317 13047 14066","2013-03-13","2013","2"
"hconres24-113","20759","29701 21196 20728 29301 21333 15085 21141 21336 20357 21180 20351 20514 29760 21354 21193 20753 20709 21132 20539 20146 20356 20919 29550 20949 15092 20344 21345 21323 20531 21301 21350 21106 20139 21338 21328 21109 21318 21179 21174 15455 21159 21184 21181 21178 20918 21182 20143 20304 21112 20336 21165 20319 20527 39308 21103 29762 20124 21107 14828 21157 21139 21149 21151 20352 21349 21346 21134 21142 21129 21186 20107 20915 29143 20738 21353 21167 20325 29338 21128 20333 21302 20704 21166 20755 21150 29393 20926 20953 20532 31102 20530 20903 21188 21348 21332 20110 21355 21176 20346 20353 21177 21115 20307 21147 20948 21148 20337 21356 21347 29752 20528 21136 20909 20505 21320 14448 21101 21164 21190 21359 20947 21131 21117 21357 29939 29500 20914 21105 21123 14657 29759 29718 20729 21373 15445 21114 21367 21163 29570 21100 20946 29572 21337 20725 21330 21360 21351 20506 21364 20138 21108 21122 21135 21317 21133","2013-03-14","2013","2"
"hconres25-113","29939","NA","2013-03-15","2013","2"
"hconres26-113","20963","21196 20728 29316 29323 21305 21309 20108 21109 20316 20143 21363 20305 21154 20916 20107 29546 21128 21302 20110 20346 29903 21147 29101 21315 21192 15634 21153 29500 21114 20342 21307 21314 20138","2013-03-19","2013","2"
"hconres27-113","29149","29339 20338 29588 29323 20539 21172 20733 20517 20748 20344 20952 10713 15455 20727 15603 20345 29337 29923 29573 15029 29769 29778 15431 20508 15612 29379 20122 29746 15616 29741 31103 14675 21115 20920 15438 13035 29346 20329 20525 39307 29368 20130 21365 20726 14869 14066","2013-03-19","2013","2"
"hconres28-113","21321","29132 21199 21352 21304 20338 21180 29777 20719 29328 21308 21329 29774 20757 21358 20708 21362 20955 21172 20733 20147 20748 20952 10713 21309 20108 21334 29109 31101 2605 20763 21316 20749 20941 21324 21363 20529 20305 21195 29337 20519 20907 29923 20103 21303 20129 29573 39305 20712 21140 21372 29769 20902 21340 20136 20145 29778 15033 15431 29504 21313 15612 21341 20119 29379 20538 20122 29729 21342 20328 14256 20537 29149 29377 21310 14263 15616 21361 29741 31103 21315 20920 21370 20904 13035 29317 20329 29346 20343 29709 20724 29911 20104 20525 29134 21102 29707 21300 15444 20762 21306 20310 20927 20934 20754 20330 21314 20504 29106 29383 20750 21118 20723","2013-04-09","2013","2"
"hconres29-113","20530","29132 15085 20906 20521 39305 29546 20704 20929 21166 20926 20532 21163 21365","2013-04-10","2013","2"
"hconres3-113","29546","21141 31102 20903 20328 29570","2013-01-03","2013","2"
"hconres30-113","21320","21196 29301 21199 15085 21304 20338 20351 20514 29328 20709 20355 29323 21358 29550 20949 21172 15092 20906 21345 21323 20531 20952 21305 20501 21301 21106 29925 20139 21328 20108 20526 21318 21179 20959 20316 21174 21159 15603 21327 20918 20521 21321 20304 20941 21322 20336 21156 29762 20908 39304 21154 21195 14828 21157 21139 21149 29337 20519 21349 29923 21339 21129 20129 21343 21162 20738 21167 21368 29375 21128 20333 20704 20929 21166 20755 21313 15612 20953 29379 21170 14435 29744 20530 29729 20535 21348 29776 21342 21332 29331 20328 20110 21355 21176 21319 20346 21115 21147 20948 20957 31103 20337 20923 20920 20528 20904 21136 20909 20505 20954 13035 21185 21192 20947 14854 21131 15634 20715 21117 21153 29500 20759 29911 21326 20914 20525 21105 21123 29759 21102 29707 29718 20542 14863 21114 20762 21163 29570 21100 21306 21312 29921 20130 21111 20927 20330 21314 20725 20504 14280 21360 20506 21118 20138 21135 21317 13047","2013-04-10","2013","2"
"hconres31-113","21153","21326","2013-04-15","2013","2"
"hconres32-113","21171","15616","2013-04-18","2013","2"
"hconres33-113","15603","29132 29777 29774 20955 21172 20952 29925 20108 29710 20959 20727 29313 20529 20305 29348 21195 29337 20519 29923 20103 39305 21340 29778 29504 21313 29379 21344 14435 20122 29729 21342 20537 29149 29377 15616 21370 20904 20954 13035 15634 29911 29134 21300 29768 20762 20310 21312 20927 20934 20504 21118","2013-04-18","2013","2"
"hconres34-113","21172","21199 21110 21352 21198 29777 20719 29328 21329 20757 21358 20539 20955 20733 20147 20517 20748 10713 20706 29587 21309 29717 15410 29710 29109 20959 29571 29561 20763 20727 21327 29312 21316 21321 20941 21324 20958 20908 20529 39304 20305 29348 21195 21124 29337 20519 29923 20103 21339 21303 29573 21343 39305 20712 15029 21140 21371 21372 20902 21340 20136 20145 29778 15431 20720 29504 21313 15612 21341 20119 20935 29379 14435 20538 29744 20122 15613 29729 21342 20328 20537 29377 29903 21310 14263 15616 21361 20957 15454 29101 31103 20923 29127 20920 21370 14448 13035 29317 21311 29346 20343 20329 20724 29911 39307 29134 20731 21300 20542 15444 20762 21306 21312 29368 20927 20934 20754 21314 21365 21366 29378 20726 29106 14280 20750 21118 20723","2013-04-18","2013","2"
"hconres35-113","20111","29776","2013-04-23","2013","2"
"hconres36-113","29778","21180 29774 20539 20955 21375 15410 20727 29313 20305 29337 29923 20103 20129 20712 21140 21340 29504 29379 14435 20122 29729 21370 29911 20762 21312 29730 21118","2013-04-26","2013","2"
"hconres37-113","20519","21345 20110 29127 21300","2013-05-21","2013","2"
"hconres38-113","20539","NA","2013-05-22","2013","2"
"hconres39-113","21317","20919 21350 21321 29337 21346 21302 21319 20528 21320 21192 20910 20944 29572 21118","2013-06-14","2013","2"
"hconres4-113","29905","21199 20507 20357 21305 20706 21109 21154 21140 29375 29504 21150 29744 20903 29746 21355 20346 20337 14448 20104 29707 21306 20506","2013-01-03","2013","2"
"hconres40-113","29546","15092 31102 21163","2013-06-20","2013","2"
"hconres41-113","13035","21199 21110 29588 21180 21354 20757 21358 20955 15092 10713 21305 15019 21327 2605 21324 20529 21124 29337 20103 20129 29573 39305 20712 29143 29546 21167 20136 20145 29908 29778 21313 15613 29729 29776 21342 29149 15616 21361 29741 21315 15634 20715 29346 29709 20104 21102 29707 20310 20330 21365 21118","2013-06-25","2013","2"
"hconres42-113","10713","21336 29124 2605 21142 21372 15033 20331 20923 20120 20725","2013-06-28","2013","2"
"hconres43-113","29106","NA","2013-07-08","2013","2"
"hconres44-113","15616","21171 21329","2013-07-08","2013","2"
"hconres45-113","20336","21143 21333 15085 20357 21193 20344 20304 20527 21139 20738 20325 21302 20704 20755 20903 21176 20353 20947 29500 21114 29570","2013-07-10","2013","2"
"hconres46-113","29132","20906","2013-07-30","2013","2"
"hconres47-113","20145","31101 21369 21368","2013-07-30","2013","2"
"hconres48-113","20138","21301 21350 21318 21174 20143 21149 21348 20110 20337 20505 21359 20506","2013-08-01","2013","2"
"hconres49-113","29777","NA","2013-08-01","2013","2"
"hconres5-113","20726","20147 20727 29769 20122 14263 29127","2013-01-03","2013","2"
"hconres50-113","29124","NA","2013-08-01","2013","2"
"hconres51-113","14863","20758 20952 20139 15410 29312 20518 20304 20519 21349 21303 20508 21170 20924 29752 20528 21185 15621 21357 39307 21360 20138 14869","2013-09-09","2013","2"
"hconres52-113","21190","20357 20338 21329 20748 21350 15410 21109 15455 21316 21184 21322 20124 21157 20508 29539 20140 21188 21348 20328 29903 20944 20726","2013-09-12","2013","2"
"hconres53-113","29778","20908 20305 29923 20103 21303 20920","2013-09-12","2013","2"
"hconres54-113","20962","NA","2013-09-16","2013","2"
"hconres55-113","20336","15085 21336 39305 20530 21163","2013-09-17","2013","2"
"hconres56-113","29701","NA","2013-09-18","2013","2"
"hconres57-113","14448","21327","2013-09-20","2013","2"
"hconres58-113","21323","NA","2013-10-05","2013","2"
"hconres59-113","20146","21333 21132 20949 21350 21338 21189 21112 21103 21191 20916 21162 21167 20704 21150 20926 20953 31102 20140 21188 14448 14854 21131 21357 20914 29718 20729 21373 21367 21163 29921 20946 21337 21330 29525","2013-10-08","2013","2"
"hconres6-113","15029","NA","2013-01-04","2013","2"
"hconres60-113","29106","21352 29777 29919 21113 20955 20147 20517 20952 29587 21334 20763 20727 21327 21316 29313 20749 20529 29337 21369 20907 29763 14873 29573 21372 29778 21341 20119 29379 29776 20537 29149 21319 15616 20705 13035 20321 21102 29707 15444 20330 29383 14869","2013-10-11","2013","2"
"hconres61-113","20338","21304 15603 21154 29337 29504 20923 15444 21314","2013-10-22","2013","2"
"hconres62-113","21122","NA","2013-10-30","2013","2"
"hconres63-113","20902","21141 20344 10713 21305 21309 21109 20305 21124 29337 20103 21368 20122 29746 20328 29149 21355 21310 15616 21361 21311 21314","2013-10-30","2013","2"
"hconres64-113","21352","21180 20757 21358 20727 29312 20305 21162 21313 15616 21361 20343","2013-11-14","2013","2"
"hconres65-113","29323","20946","2013-11-15","2013","2"
"hconres66-113","20536","21180 20514 21309 21107 20305 21129 21167 21313 14263 20924 20705 20528 13035 21101 21164 21314 21337 21360 21133","2013-11-21","2013","2"
"hconres67-113","21316","21172 20706 29109 20907 20136 29908","2013-11-21","2013","2"
"hconres68-113","20345","29559","2013-12-04","2013","2"
"hconres69-113","20762","21110 29588 21172 29925 20108 20959 29561 20727 21327 29312 21316 29313 20305 29348 20103 20129 21140 29778 21313 21344 20122 15613 29729 29149 21319 21315 21370 13035 29911 20525 20731 20542 29768 21312 20754 21365 29378 14280","2013-12-04","2013","2"
"hconres7-113","29778","20305 29923","2013-01-04","2013","2"
"hconres70-113","14263","10713 29313 20305 20929 20720 20122 21342 20328 15616 15444 20754 20726","2013-12-10","2013","2"
"hconres71-113","29315","NA","2013-12-12","2013","2"
"hconres72-113","29939","NA","2013-12-12","2013","2"
"hconres73-113","20108","29313 29504 21315 21314","2014-01-09","2014","2"
"hconres74-113","14854","NA","2014-01-13","2014","2"
"hconres75-113","20144","NA","2014-01-16","2014","2"
"hconres76-113","29923","29588 20955 20501 29717 29109 29559 20518 20749 20305 20103 20129 29573 39305 15033 15431 20122 20702 20307 21315 13035 15621 29759 20731 15444 15445 21307 21118","2014-01-16","2014","2"
"hconres77-113","21189","20508","2014-01-16","2014","2"
"hconres78-113","21352","21110 29328 20733 20748 20305 21344 20702 13035 21137 29346 20525 29134 21314 21118","2014-01-27","2014","2"
"hconres79-113","20915","21136 21135","2014-01-29","2014","2"
"hconres8-113","21188","15085 20351 20146 21189 21162 20346 21147 21136 14448 14854 29718 29921 15446 29525","2013-01-15","2013","2"
"hconres80-113","20954","21172 29778","2014-01-29","2014","2"
"hconres81-113","20925","NA","2014-02-11","2014","2"
"hconres82-113","20925","NA","2014-02-11","2014","2"
"hconres83-113","21324","21124","2014-02-11","2014","2"
"hconres84-113","20529","21110 29339 20340 20757 20539 20955 20733 20147 20517 20748 10713 20763 20727 20941 29337 29763 20103 29573 21343 39305 20712 29778 15431 29776 20537 15616 31103 13035 21137 29346 20321 39307 21102 29368 21365 29106 21118","2014-02-11","2014","2"
"hconres85-113","21352","20340 21327 21195 20702 29776 15616 20762 21118","2014-02-21","2014","2"
"hconres86-113","21123","20357 21198 20719 21329 20340 15092 21345 20531 20501 20706 21350 21328 31101 21109 15455 21327 21182 20518 20941 21363 21165 39308 20305 21149 21346 20915 21162 29769 20325 20333 21340 21302 29908 20755 20720 29393 21341 29379 21344 29729 29776 21310 14263 29127 21370 15438 13035 21190 20301 20343 20944 20321 14657 20731 21373 21114 21163 29921 20934 21314 20725 29932 20726 20750 21351 20506 21317","2014-02-25","2014","2"
"hconres87-113","21141","21334 21162 29546 20755 20122 20946","2014-02-25","2014","2"
"hconres88-113","14873","20952 21334 20763 29149 15616 20330 14869","2014-02-25","2014","2"
"hconres89-113","21348","21346 20705","2014-03-05","2014","2"
"hconres9-113","21185","21328 21318 21190","2013-01-22","2013","2"
"hconres90-113","21168","21154 20129 14280","2014-03-06","2014","2"
"hconres91-113","13035","21110 21180 21358 15092 20906 20952 10713 15019 20959 15603 2605 20529 20305 21154 21124 29337 20103 20129 29573 39305 20712 29143 29546 21167 29375 21150 15613 29729 29776 21342 15616 29741 29321 29346 20329 29709 20104 20310 21312 21314 21118","2014-03-06","2014","2"
"hconres92-113","21171","20757","2014-03-11","2014","2"
"hconres93-113","21154","NA","2014-03-13","2014","2"
"hconres94-113","20301","21305 21301 21369 21151 20333 20704 29315 21115 20528 29572 20138","2014-03-25","2014","2"
"hconres95-113","21346","15092 21350 21328 31101 29546 21340 21302 29522 20720 29393 29746 21147 20337 29127 15438","2014-03-25","2014","2"
"hconres96-113","29939","NA","2014-04-04","2014","2"
"hconres97-113","29921","29339 21327 20518 20953 20331 21115","2014-04-10","2014","2"
"hconres98-113","21184","21336 20351 21354 21193 21376 21350 21181 21112 20124 21346 20963 29143 29338 29539 21150 20948 21148 21356 15621 21163 29921 21360","2014-05-15","2014","2"
"hconres99-113","20705","21180 20501 21189 20727 20103 29769 20122 20537 21370","2014-05-21","2014","2"
"hjres1-113","39308","29301 21333 21141 21336 20758 20351 20514 20753 20709 21132 20355 29124 29550 20949 20906 21323 20531 21106 20139 20526 21318 21174 15455 21181 21182 20143 20304 21112 20336 20345 21165 20319 21175 20962 21191 20916 14828 21149 20352 21349 21346 21142 21129 21186 20107 20738 20325 20333 21125 20704 20929 21150 29393 20926 21170 20530 21188 20535 21348 20331 20110 21355 21176 20346 21115 20948 21148 20337 21347 20528 21136 20909 21190 20947 21131 20715 21117 29321 29565 20759 14657 29759 21373 15445 15446 20725 21360 21351 20506 20138 20756","2013-01-03","2013","2"
"hjres10-113","21105","NA","2013-01-03","2013","2"
"hjres100-113","14256","NA","2013-10-30","2013","2"
"hjres101-113","21148","29565","2013-10-30","2013","2"
"hjres102-113","29143","29316 20344","2013-11-13","2013","2"
"hjres103-113","29143","29316 20344","2013-11-13","2013","2"
"hjres104-113","21354","21336 20753 21318 21174 21139 29393 31102 29500 29572 21360 21122 21317","2013-11-15","2013","2"
"hjres105-113","20110","20758 20514 29328 20709 21376 20708 20111 21318 20959 20316 21321 21322 20908 39304 29337 29331 21319 21115 21115 20909 21320 20910 15634 21117 21114 21366 20504 21116 21118 21317","2014-01-09","2014","2"
"hjres106-113","14854","NA","2014-01-10","2014","2"
"hjres107-113","20723","20748 29778 20724","2014-01-16","2014","2"
"hjres108-113","21176","21553 21376 29550 21179 21157 21148 21190 20759 21105","2014-02-04","2014","2"
"hjres109-113","29321","15603","2014-02-10","2014","2"
"hjres11-113","29921","21301 21174 29762 21142 29522 21150 21147 21131 20506","2013-01-03","2013","2"
"hjres110-113","21166","20357 20753 21174 21184 20962 21134 20738 21150 21348 21355 20948 21347 21123 20506","2014-02-11","2014","2"
"hjres111-113","29143","29316 20344","2014-03-04","2014","2"
"hjres112-113","29321","15603","2014-03-05","2014","2"
"hjres113-113","20762","21199 21110 21352 29316 20338 29588 21198 29777 20719 21308 21329 21113 20757 21358 20708 21362 20539 20955 21172 21375 20733 20147 20748 20952 10713 20706 29587 21309 20108 15410 29710 21334 29109 31101 20959 2605 29571 29561 20763 20727 29312 21316 29313 20749 21321 20941 20958 20908 20529 39304 20305 29348 21195 21124 29337 21369 20519 20907 29763 29923 20103 21339 14873 21303 20129 21343 20712 15029 21140 21371 21335 21372 29769 20902 21340 20136 29778 15033 20720 21313 15612 21341 29379 21344 20538 29744 20122 15613 29729 20702 20328 14256 20537 29149 21319 29377 29903 21310 14263 15616 15454 29741 29101 20705 20923 21315 29127 20920 21370 15438 21137 29317 21311 20329 20343 29709 20724 29911 20104 21326 20944 39307 29134 21102 20731 29707 21300 20542 15444 29768 21306 20310 21312 29901 29730 20927 20934 20754 20330 21365 20726 20504 29106 14280 20750 21118 20723","2014-03-27","2014","2"
"hjres114-113","29908","NA","2014-04-10","2014","2"
"hjres115-113","20357","20351 20753 20539 20949 21174 20527 20962 21191 21142 20738 20704 20953 20903 21176 29500 21105 21367 20725 21360 21317","2014-05-21","2014","2"
"hjres116-113","21128","15603","2014-06-09","2014","2"
"hjres117-113","29143","29316 20344","2014-07-09","2014","2"
"hjres118-113","21188","21171 21333 20351 21132 20146 20356 20919 21301 21350 21106 21328 21159 21182 20143 21165 39308 21107 14828 20925 21134 20915 29546 20738 20926 20953 20903 20110 21147 21356 21131 21357 29500 21330 14066","2014-07-10","2014","2"
"hjres119-113","20959","21110 21352 29316 20338 29588 21198 29777 21308 21329 20340 29919 21113 21358 20955 21172 21375 20147 20748 10713 20706 29925 29587 20108 15410 29109 31101 29571 29561 20763 20727 15603 21327 29312 21316 29313 29559 20749 21321 20941 21324 20958 20908 39304 20305 21195 29337 21369 20907 29923 20103 21339 21303 20129 29573 39305 20712 15029 21335 21368 21340 20136 20145 29908 29778 15431 29504 21313 15612 21341 20932 20119 21344 20538 20122 15613 29729 29776 21342 14256 20537 29149 29903 14263 15616 21361 15454 29741 31103 15448 20705 20923 21315 29127 20920 21370 15438 20954 13035 21137 29317 20329 20343 20724 29911 20104 21326 20944 20525 29134 21102 20731 29707 15444 29768 20762 21306 21312 29901 20927 20934 20754 20330 20726 20504 29106 14280 20750 21118 20723","2014-07-14","2014","2"
"hjres12-113","15029","15438","2013-01-04","2013","2"
"hjres120-113","20340","NA","2014-07-23","2014","2"
"hjres121-113","21113","NA","2014-07-29","2014","2"
"hjres122-113","21170","NA","2014-07-31","2014","2"
"hjres123-113","20107","29701 20728 21336 20351 20753 21376 21175 29143 21319 21302 21150 20337 21117 20725 21364","2014-09-08","2014","2"
"hjres124-113","14854","NA","2014-09-09","2014","2"
"hjres125-113","20104","20952 20145 29149 29911","2014-09-16","2014","2"
"hjres126-113","21106","29701 29323 21345 21301 21350 20139 21328 21182 20962 21107 21139 20522 21348 21176 21177 21117 20759 20914 21337 21135","2014-09-18","2014","2"
"hjres127-113","20527","20728 15085 21103 21139 29500 21360","2014-09-18","2014","2"
"hjres128-113","29908","NA","2014-09-19","2014","2"
"hjres129-113","20703","NA","2014-11-14","2014","2"
"hjres13-113","15029","NA","2013-01-04","2013","2"
"hjres130-113","14854","NA","2014-12-10","2014","2"
"hjres131-113","14854","NA","2014-12-12","2014","2"
"hjres14-113","15029","NA","2013-01-04","2013","2"
"hjres15-113","29134","NA","2013-01-04","2013","2"
"hjres16-113","20325","21174 21122 21317","2013-01-04","2013","2"
"hjres17-113","21192","NA","2013-01-15","2013","2"
"hjres18-113","29736","NA","2013-01-18","2013","2"
"hjres19-113","29736","20111 20110 20910 13047","2013-01-18","2013","2"
