"bill_id","sponsor_icpsr","cosponsors_icpsr","bill_date","year","chamber"
"hconres1-111","15444","NA","2009-01-06","2009","2"
"hconres10-111","29573","NA","2009-01-07","2009","2"
"hconres100-111","29940","15014 20531 39304 29923 29769 29341 14675 20505 29759 29519 29705 20506 29931 14066","2009-04-21","2009","2"
"hconres101-111","14644","29508 29775 29323 20539 14813 15413 20925 15420 20963 20107 29504 14647 20703 20903 29315 29905 20307 15448 29505 15621 29321","2009-04-21","2009","2"
"hconres102-111","29778","15245 29942 29940 15005 29339 21180 29328 20340 29774 20733 20517 39301 20952 10713 20706 29587 29717 20763 20727 29325 29943 20908 20529 20305 29348 20716 29337 29380 20713 20103 29573 20712 15029 29564 29733 20942 29748 29522 15431 14435 29744 20122 15613 29729 29776 20341 14256 29915 20537 29149 29903 15616 29123 29127 20135 15438 20752 29771 29317 29346 20329 20922 20104 20321 39307 29134 20744 20542 14053 29378 20726 20504 20106 29383 29309","2009-04-21","2009","2"
"hconres103-111","15619","15005 29339 20943 20101 21180 29328 20516 20748 20727 15603 39304 29337 29573 39305 29778 20937 29729 20341 13035 29346 29911 20104 29707 29768 29703 20106 14280","2009-04-21","2009","2"
"hconres104-111","29940","21180 20501 29587 20763 20349 29564 29769 20122 29729 20528 29709 20744 20504","2009-04-22","2009","2"
"hconres105-111","29313","15245 29922 29508 20758 29735 29775 20101 21180 20514 29713 20137 20917 20708 20539 20531 29731 29109 29561 29745 29943 15100 20908 20305 29763 20713 20103 29564 20711 29778 20926 20937 20700 29149 14265 15049 15619 21115 20909 20113 14448 13035 20536 29771 14854 20329 29346 14451 29519 15064 20330 20106 20138","2009-04-23","2009","2"
"hconres106-111","20900","20302 20912 29921","2009-04-23","2009","2"
"hconres107-111","29778","29940 20539 20305 29337 29573 29733 15613 29729 29776 15616 15619 20752 29911 29134 20744 14280","2009-04-23","2009","2"
"hconres108-111","29379","29940 29912 29777 20945 20108 29710 29731 29109 20734 20713 20115 29778 15613 20328 29915 20537 29149 20731 14053 20330","2009-04-23","2009","2"
