"bill_id","sponsor_icpsr","cosponsors_icpsr","bill_date","year","chamber"
"hconres1-112","14813","NA","2011-01-05","2011","2"
"hconres10-112","20144","NA","2011-01-20","2011","2"
"hconres100-112","21104","20100 20304 21103 20305 29101 21105","2012-02-14","2012","2"
"hconres101-112","20345","15000 20123 20743 21196 29132 20940 29942 29301 29538 29316 29922 29912 29508 20357 20338 21180 20300 29721 20514 20719 20709 20146 29919 20757 29550 20949 21172 20706 20960 20511 20526 21174 29325 21181 20524 21178 14824 15413 20124 39304 21152 20916 20930 15420 29396 29923 21142 20915 29143 29546 21140 14430 29769 20325 20136 29908 29522 20755 14644 15431 29539 20720 20926 20119 29379 20532 14435 20140 20538 29744 20332 15613 29729 29315 21168 20328 29905 20110 20537 29149 20707 15616 20353 20307 29741 14290 20924 15619 20705 20920 29752 20135 15438 20505 13035 20536 29321 29709 20104 20914 20525 21173 20762 14053 21163 21100 20310 29921 20946 29901 20130 29730 21111 20342 20725 20750 20506 20138 29309 20723","2012-02-16","2012","2"
"hconres102-112","20343","29550 20941 15029 29748 29553 20755 21163 20740 20130","2012-02-16","2012","2"
"hconres103-112","29721","20523 20719 20306 20326 20501 29396 20720 20321","2012-02-17","2012","2"
"hconres104-112","15621","20527 20325","2012-02-17","2012","2"
"hconres105-112","21124","20713","2012-02-28","2012","2"
"hconres106-112","14873","20952 20763 29149 15616 20330 14869","2012-02-29","2012","2"
"hconres107-112","29546","21141 21193 15014 20906 15455 20527 20305 29748 20903 20328 14290 21190 29309","2012-03-07","2012","2"
"hconres108-112","21168","21154 21155 20129 14280","2012-03-19","2012","2"
"hconres109-112","14863","29356 21193 29325 20110 29149 29752 29321 14053","2012-03-20","2012","2"
"hconres11-112","29778","29325 20305 29923 20103 15431 29729 20537 14053 29309","2011-01-20","2011","2"
"hconres110-112","21120","21196 21171 29356 21141 20758 20351 20514 21132 20949 20531 21159 21182 20304 20527 39308 21175 21107 21191 20916 21134 20915 29546 20325 29338 21138 21166 21150 29349 20532 20332 20110 29549 21115 21147 21104 21101 20910 21117 21130 21105 21123 21114 21111 21197 21119 20506","2012-03-22","2012","2"
"hconres111-112","21194","21160 20925 29769 20328 29718 21133","2012-03-22","2012","2"
"hconres112-112","29939","NA","2012-03-23","2012","2"
