"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres1-116","29729","NA","2019","2"
"hconres10-116","21946","21902 21701 21759 21705 29339 21708 20355 20322 21908 21345 21913 21755 21178 21719 21924 20124 21929 21149 21760 21340 21302 31102 21188 20535 21348 21557 29127 21953 21957 20947 21959 20902 20542 21971 21306 21116","2019","2"
"hconres100-116","29778","21545 21506 21703 21110 21352 21304 21554 29339 29588 21706 21198 21548 21707 21308 20340 20757 21906 20708 21362 20955 21172 21907 21375 20733 20147 20517 20748 20952 15019 21711 21909 21712 21912 20533 21309 21914 29717 20108 21915 15410 29710 29109 31101 21916 21504 20959 21529 29571 29561 15603 21917 29312 21715 21566 21321 20941 21502 20958 21921 21922 21754 20529 20305 21928 29337 21931 21369 21339 21303 29573 21726 21343 20712 15029 21140 21371 21335 21728 21372 21368 21937 20902 21730 21340 21756 21530 21732 21940 21939 15431 21507 29504 21313 15612 21941 29379 21344 20538 20122 21736 29729 20702 29776 21342 20537 29903 15616 21948 15616 21949 21950 15454 21740 31103 21315 21953 20920 21370 21954 21955 15438 20954 21741 21137 21960 29317 21311 20329 29346 20343 20329 20724 29911 20104 21326 39307 29134 21102 21963 29707 20542 29768 21746 20762 21972 21747 21306 20310 21312 29368 29901 21975 20934 21508 21977 21978 21314 21365 21366 29378 15124 20504 29106 21538 20750 21983 21763 21118 20723","2020","2"
"hconres101-116","29339","21110 29717 20941 29337 21339 29573 20712 29778 15616 31103 21554 21102 29368","2020","2"
"hconres102-116","39305","NA","2020","2"
"hconres103-116","31103","21545 21352 20757 20712 21355","2020","2"
"hconres104-116","20531","NA","2020","2"
"hconres105-116","20941","NA","2020","2"
"hconres106-116","20340","NA","2020","2"
"hconres107-116","39301","NA","2020","2"
"hconres108-116","20531","21551 21759 21323 21305 21755 20316 21720 21927 21149 21514 21302 21734 21355 20948 21742 21544 20902 21367 21337 21360 21351 21122 21317","2020","2"
"hconres109-116","21543","21333 21352 21706 15029 21728 20902 20926 20530 21738 20301 21544 20321 21978 20342 21563","2020","2"
"hconres11-116","15029","20519 15616 29911","2019","2"
"hconres110-116","21926","NA","2020","2"
"hconres111-116","29908","21741","2020","2"
"hconres112-116","29346","NA","2020","2"
"hconres113-116","21366","NA","2020","2"
"hconres114-116","21545","21516 21701 21333 21352 29339 21707 21329 20757 15019 20518 20941 20958 21929 21339 15029 21728 29778 29393 21734 20530 21736 21370 21137 20321 21102 21978 20342 21543 21563","2020","2"
"hconres115-116","20538","21701 20322 20708 21907 20344 20501 21718 21324 20519 21934 20712 21353 21525 15616 21740 15438 20902 21762 21966 21971 21981 21983 21118","2020","2"
"hconres116-116","21550","21903 21554 20322 29550 20733 21758 20952 21718 39305 21371 29393 21525 21541 21365","2020","2"
"hconres117-116","15433","21317","2020","2"
"hconres118-116","21507","21331 21755 29710","2020","2"
"hconres119-116","29911","21703 21110 21352 29588 21198 21308 20708 21362 20955 20733 20748 20952 21309 29717 15410 29710 21917 21715 21502 21921 20305 21928 29337 21931 21303 29573 21726 21335 21728 29778 21313 20122 29729 21761 29377 29903 21948 15616 21950 20705 20920 21370 21741 29346 20724 21762 21746 20762 29368 21975 21314 20504 20750 21118","2020","2"
"hconres12-116","21352","21110 21706 21707 20340 20708 20733 20748 29717 21529 20305 21339 29573 39305 20712 21371 21530 29778 15431 21941 29776 20537 15616 21554 21955 21137 20343 29911 21746 21312 29368 21979 21366 21538","2019","2"
"hconres120-116","29769","21720 21559 20537 21370 14657 21970 15433","2020","2"
"hconres121-116","21705","NA","2020","2"
"hconres122-116","21947","21362 21711 21917 21715 21502 21922 21722 20305 29903 29317 29134 20310 21977 21314 29378","2020","2"
"hconres123-116","15410","21554 21705 29588 21362 20955 20748 15019 21529 21715 21324 21719 21921 20305 21303 21726 21728 29778 21313 29729 29377 29903 15616 21370 20909 21741 21742 29346 29911 20104 21975 21538 20750","2020","2"
"hconres124-116","20756","29729 29317 29910","2020","2"
"hconres125-116","20147","NA","2020","2"
"hconres126-116","21556","20944 29932","2020","2"
"hconres127-116","15612","NA","2020","2"
"hconres128-116","15612","NA","2020","2"
"hconres13-116","21352","21110 21706 21707 20708 20733 20748 29717 21529 20305 21339 29573 39305 20712 21371 21530 29778 21941 29776 20537 15616 21554 21955 21137 20343 29911 20321 20542 21746 21312 29368 21979 21314 21365 21366 21538","2019","2"
"hconres14-116","21908","21554 21191 21941 21957 39307","2019","2"
"hconres15-116","21303","21554 29588 21198 21709 21358 20322 21906 20955 21172 21907 20517 20952 20706 15410 29710 31101 21504 21529 21718 20749 20958 21928 21930 29337 21932 39305 20712 21140 21728 21368 21937 29778 21940 21939 21507 21313 20932 21941 21942 29379 20538 20122 29729 20702 21342 20537 21947 29903 15616 21315 20920 21954 15438 20954 21540 21960 29317 20329 29911 20104 20944 29134 20542 29768 20934 21978 20504 29106 21538 20750 21763","2019","2"
"hconres16-116","20927","21348","2019","2"
