"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres24-117","21321","21545 21307 21703 21110 21352 21554 29339 29588 21706 21198 21548 21707 21308 21986 21329 20340 21709 20757 20322 20708 20955 21172 21375 20733 20517 20748 20952 15019 21910 29717 21915 15410 29710 29109 31101 21504 20959 21529 29561 21917 29312 21715 21919 21502 21921 21922 21754 21723 20305 29337 21931 21339 21934 29573 21307 21726 39305 20712 21985 21985 15029 21140 21371 21728 21368 20902 21730 21340 20136 21530 21732 29778 21938 21307 21939 21507 29504 20119 29379 21344 21986 20538 21944 20122 29729 20702 29776 21342 20537 21761 21525 29903 21948 21985 21536 15616 21950 15454 21951 29741 20920 21370 21954 21955 15438 20954 21741 21540 21307 29317 29346 20343 21762 29911 21962 21102 21964 20542 21965 29768 20762 21972 21747 21306 20310 21312 20927 21975 21307 21977 21314 29378 20504 21538 20750 21983 21307 21118 20723","2021","2"
"hconres25-117","21948","21303 15616 21307","2021","2"
"hconres26-117","21983","21307 21986 21172 21915 21754 20305 21307 21726 21985 21368 20136 21313 20119 29379 21344 29729 20537 21525 21985 15616 21951 20920 21370 29317 21762 29911 29768 20762 21312 20927 21307 21307","2021","2"
"hconres27-117","21566","NA","2021","2"
"hconres28-117","21566","NA","2021","2"
"hconres29-117","21312","21198 20955 21172 29717 21915 31101 29312 21502 20305 21931 20519 21339 21985 21728 21368 21730 21313 29379 20122 21342 29377 15616 21950 21740 21951 21762 29911 20542 21746 21747 21306 20310 20927 20934 21307 21314 29378 21307 21118 20723","2021","2"
"hconres3-117","15616","21706 20757 15410 21504 20902 21340 29378","2021","2"
"hconres30-117","29504","NA","2021","2"
"hconres31-117","29911","21703 21110 29588 21198 21986 21308 20708 20955 20733 20748 21309 29717 29710 21715 21502 21921 20305 21303 29573 21307 21726 21985 21728 29778 20119 29379 20538 20122 21736 29729 21342 21761 29377 21985 15616 21950 20705 20920 21370 21741 21307 29346 20902 20724 21762 21975 21307 21977 21978 29378 20504 21538 21307 21118","2021","2"
"hconres32-117","21981","21900 21701 20758 29550 20748 20952 15019 20501 21912 21307 21718 21307 21720 21561 21937 20136 21507 21735 21945 21761 21356 21956 21744 21966 21541 21367 21749 15433 20927 21314","2021","2"
