"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres1-114","29759","NA","2015","2"
"hconres10-114","29559","15033 21314","2015","2"
"hconres100-114","20715","21516 21152 21519 20514 21331 29550 21547 21512 20526 20959 21127 20524 20918 20304 21152 21149 20352 21129 20107 21162 21353 21167 21128 21302 20704 20929 20755 20508 21552 15612 21537 20530 20110 21556 20924 20337 20528 21524 21136 20505 21549 21164 20947 15621 21123 29707 21367 20130 21337 21330 21360 21351 21135 21539","2015","2"
"hconres101-114","21317","21522 21331 20501 15455 20925 21149 21514 21561 29729 20944 21521","2015","2"
"hconres102-114","20703","NA","2015","2"
"hconres103-114","21159","21193 20139","2015","2"
"hconres104-114","20505","NA","2015","2"
"hconres105-114","21188","21333 15085 21132 20355 21350 21165 21103 21191 20916 21139 21346 21558 29143 20110 21557 21355 20346 20337 21356 20505 21164 20947 14854 21131 21357 21544 21351 29525 21364 20138","2015","2"
"hconres106-114","20344","NA","2016","2"
"hconres107-114","20527","NA","2016","2"
"hconres108-114","20143","21323 20518 39308 21167 20110 15438","2016","2"
"hconres109-114","21102","NA","2016","2"
"hconres11-114","20954","21151 29778","2015","2"
"hconres110-114","20529","21545 21110 29339 29328 20340 20757 20733 29717 29559 20941 29573 21343 39305 29778 15431 29776 20537 13035 21137 29346 39307 21365 29106 21118","2016","2"
"hconres111-114","21168","20959 20129","2016","2"
"hconres112-114","20514","21180 21354 21103 21523 21514 29143 21177 21148 20759 29759 21163","2016","2"
"hconres113-114","20909","21115","2016","2"
"hconres114-114","21367","21152 20357 21180 29550 20949 20906 21179 20316 21174 15455 20518 21152 21187 21319 21552 20953 20530 21348 21556 21115 20307 20528 15621 20910 15634 21117 29500 14657 20729 21360","2016","2"
"hconres115-114","29525","21324","2016","2"
"hconres116-114","21152","NA","2016","2"
"hconres117-114","21171","20757","2016","2"
"hconres118-114","20346","21171 21548 29777 21358 21547 20526 29561 29559 20524 21167 21170 21168 21356 29752 21101 21357 20134 20946","2016","2"
"hconres119-114","14873","21554 21555 20952 21334 20763 15616 20330","2016","2"
"hconres12-114","20130","NA","2015","2"
"hconres120-114","29375","14873 29741 20536","2016","2"
"hconres121-114","14863","15603 20924 29752 29321","2016","2"
"hconres122-114","20337","21506 20344 21305 21103 20305 21368 20902 21341 20932 20122 21176 29768 29525 21508 14066 21749","2016","2"
"hconres123-114","39308","21554 21553 21555 20952 20143 21191 21186 21185 39307 20756","2016","2"
"hconres124-114","29525","21324 20124 21313","2016","2"
"hconres125-114","20505","NA","2016","2"
"hconres126-114","21543","NA","2016","2"
"hconres127-114","21352","20340 20517 10713 21195 15616","2016","2"
"hconres128-114","20704","29701 21180 21331 21358 21555 21547 21181 20918 21152 20925 21151 21346 21128 21302 21537 20532 20903 21501 21557 21148 20947 20301 21131 21117 21544 14863","2016","2"
"hconres129-114","15634","21352 20758 21548 29550 21172 20748 20952 10713 21512 21318 20959 20316 21560 21325 15603 21321 20908 20305 20103 20129 21343 21368 20704 15033 21507 21313 15612 29379 21342 21319 29377 20528 21540 29911 29707 20542 14863 29378 20504 21360 21118 21539","2016","2"
"hconres13-114","21188","21551 21333 21193 21132 20355 29323 29550 20531 21174 20304 21103 21139 21558 20704 20755 20110 21557 20353 21148 21347 29752 21123 29759 21111 21330 21360 20138 20756","2015","2"
"hconres130-114","21317","21522 21331 20501 15455 20925 21149 21514 21561 29729 20944 15124 21521","2016","2"
"hconres131-114","15616","NA","2016","2"
